Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Macao SAR, China",MAC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,15470,14500,14640,15960,16600,18240,22880,24760,27080,35430,34940,37090,45890,55220,61900,71620,76300,67180
"Macedonia, FYR",MKD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1940,1830,1860,1810,1840,2110,2590,3010,3340,3610,4350,4630,4720,4820,4750,5010,5190,5140
Madagascar,MDG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,250,240,250,260,230,280,290,290,280,330,400,410,420,420,430,440,440,420
Malawi,MWI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,200,180,160,140,170,220,300,300,310,330,370,400,440,480,450,390,360,340
Malaysia,MYS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3600,3350,3420,3520,3760,4130,4710,5250,5830,6760,7530,7530,8230,9060,10200,10850,11120,10570
Maldives,MDV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,3400,3920,3570,4210,4000,4880,5030,5380,5850,5960,6000,6480,6950
Mali,MLI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,280,290,280,300,290,350,400,460,490,530,610,670,690,730,730,760,790,760
Malta,MLT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9810,10510,10920,11160,11380,12510,14300,15660,16310,17720,19950,19520,20530,21300,21580,22520,23630,23900
Marshall Islands,MHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2530,2620,2850,2970,2970,3090,3320,3570,3620,3760,3760,3720,3790,3960,3990,4270,4390,4770
Mauritania,MRT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,550,560,510,470,470,510,590,690,830,920,1060,1090,1140,1210,1330,1420,1370,..
Mauritius,MUS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3780,3640,3870,3900,3890,4260,5040,5420,5920,6470,7380,7720,8250,8580,9260,9790,9790,9780
Mexico,MEX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4610,5080,5750,6240,6580,6860,7390,7720,8280,9080,9580,8690,8840,9080,9770,9920,10090,9710
"Micronesia, Fed. Sts.",FSM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2010,2060,2210,2250,2270,2380,2440,2550,2550,2550,2560,2770,2870,3050,3220,3280,3200,3560
Moldova,MDA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,460,400,370,400,460,570,730,890,1030,1160,1500,1570,1820,1990,2140,2470,2560,2240
Monaco,MCO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,95040,92450,90840,86410,84050,94140,113040,128380,137470,161310,186710,..,..,..,..,..,..,..
Mongolia,MNG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,520,480,470,480,530,610,760,900,1120,1410,1800,1790,2000,2600,3670,4370,4260,3870
Montenegro,MNE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,1960,2440,3100,3660,4310,5230,6500,6710,6890,7240,7000,7330,7320,7220
Morocco,MAR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1450,1400,1380,1390,1370,1540,1840,2070,2250,2390,2710,2900,2950,3020,3000,3100,3070,3030
Mozambique,MOZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,260,280,280,270,240,270,310,350,370,400,440,480,460,480,530,600,630,590
Myanmar,MMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,160,180,220,260,290,350,460,630,830,990,1120,1190,1200,1160
Namibia,NAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2270,2130,2110,1970,1900,2170,2760,3390,3880,4140,4200,4120,4360,4970,5450,5730,5680,5190
Nauru,NRU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,4580,5800,6760,9190,13330,14730,11850
Nepal,NPL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,210,220,230,240,240,260,290,310,340,380,440,490,540,610,690,730,740,730
Netherlands,NLD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,27930,28370,28560,27180,26800,30700,37300,42390,46080,49390,52460,53520,53530,54120,52500,52330,51330,48850
